TU_RLTY_KID;Error;Error_text;KNum
4843859;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4367365;0;;43:40:000607:187
4838529;0;;43:40:000607:187
4373921;0;;43:40:000604:155
4845363;0;;43:40:000604:155
4842057;0;;43:40:003622:151
4370793;0;;43:40:003622:151
4372045;0;;43:40:003622:329
4843353;0;;43:40:003622:329
4371479;0;;43:40:000607:17
4842755;0;;43:40:000607:17
4838371;0;;43:40:000607:140
4367209;0;;43:40:000607:140
4841219;0;;43:40:000607:191
4370001;0;;43:40:000607:191
4369183;0;;43:40:003622:300
4840375;0;;43:40:003622:300
5966732;0;;43:40:003620:603
4374023;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4845471;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4840249;0;;43:40:000216:42
4369057;0;;43:40:000216:42
4373003;0;;43:40:000367:4194
4844379;0;;43:40:000367:4194
4372857;0;;43:40:000511:134
4844231;0;;43:40:000511:134
4367493;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4838659;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4368481;0;;43:40:000500:305
4839661;0;;43:40:000500:305
4368483;0;;43:40:000506:103
4839663;0;;43:40:000506:103
4842757;0;;43:40:000506:179
4371481;0;;43:40:000506:124
5697898;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4370559;0;;43:40:000511:59
4841811;0;;43:40:000511:59
4842759;0;;43:30:380501:445
4371483;0;;43:30:380501:445
4370457;0;;43:40:000867:1108
4841699;0;;43:40:000867:1108
4366485;0;;43:40:000506:105
4837643;0;;43:40:000506:105
4372855;0;;43:40:000116:1968
4844229;0;;43:40:000116:1968
4348625;0;;43:30:420302:723
5713183;0;;43:30:420302:723
4404727;0;;43:40:002606:85
4404729;0;;43:40:003017:600
4692933;0;;43:40:003017:587
4527847;0;;43:40:003017:590
4802395;0;;43:40:003017:598
4565225;0;;43:40:003017:598
4802397;0;;43:40:003017:598
4680795;0;;43:40:003017:599
4746589;0;;43:40:003017:602
4490035;0;;43:40:003017:615
4662947;0;;43:40:003017:611
4438387;0;;43:40:002220:798
4438389;0;;43:40:002220:801
4722717;0;;43:40:002220:798
4674921;0;;43:40:002220:799
4752435;0;;43:40:002220:800
4348433;0;;43:40:003620:672
4438397;0;;43:40:000000:1000
4608307;0;;43:40:002607:94
4589561;0;;43:40:002607:108
4799385;0;;43:40:002607:108
4583463;0;;43:40:002607:97
4483747;0;;43:40:002607:95
4790541;0;;43:40:002607:103
4438399;0;;43:40:002607:103
4626463;1;Parse error;
4471147;1;Parse error;
4662957;0;;43:40:002607:102
4411615;0;;43:40:002819:257
4444995;0;;43:40:002819:481
4411617;0;;43:40:003621:242
4483749;0;;43:40:003611:716
4425081;0;;43:40:003621:243
4521581;0;;43:40:003621:244
4752441;0;;43:40:003611:714
4722733;0;;43:40:003621:245
4692939;0;;43:40:003611:717
4451425;0;;43:40:000000:3176
4674937;0;;43:40:003017:337
4776171;0;;43:40:003017:335
4645105;0;;43:40:003017:341
4651035;0;;43:40:003017:338
4716763;0;;43:40:003017:366
4589571;0;;43:40:003017:629
4546751;0;;43:40:003017:325
4451427;0;;43:40:003017:363
4445005;0;;43:40:002203:136
4716765;0;;43:40:002203:280
4534233;0;;43:40:002203:327
4734723;0;;43:40:002203:328
4445007;0;;43:40:002203:329
4608323;0;;43:40:002203:281
4734709;0;;43:40:002203:282
4752453;0;;43:40:002203:283
4657017;0;;43:40:002203:303
4583473;0;;43:40:002203:304
4651037;0;;43:40:002203:305
4571449;0;;43:40:002203:306
4810645;0;;43:40:002203:306
4674941;0;;43:40:002203:326
4349140;0;;43:40:002205:2
4382313;0;;43:40:002205:2
4464451;0;;43:40:003017:500
4404757;0;;43:40:003017:512
4662971;0;;43:40:003017:503
4764285;0;;43:40:003017:521
4382315;0;;43:40:003017:506
4626485;0;;43:40:003017:517
4552899;0;;43:40:003017:507
4411633;0;;43:40:003017:502
4411635;0;;43:40:000000:1023
4477475;0;;43:40:002220:804
4411637;0;;43:40:002220:802
4451435;0;;43:40:002220:803
4490059;0;;43:40:002220:805
4382109;0;;43:40:002200:1174
5677179;0;;43:40:002200:1174
4345794;0;;43:40:002200:1174
4508879;0;;43:40:002200:1189
4382111;0;;43:40:002200:1175
4496189;0;;43:40:002200:1185
4692837;0;;43:40:002200:1191
4431715;0;;43:40:002200:1187
4527769;0;;43:40:002200:1177
4534117;1;Parse error;
4595829;1;Parse error;
4764185;0;;43:40:002200:1186
4764187;0;;43:40:002200:1180
4728693;0;;43:40:003611:723
4521459;0;;43:40:002200:1181
4527771;0;;43:40:003621:258
4595831;0;;43:40:003611:720
4632749;0;;43:40:003621:259
4656909;0;;43:40:002200:1174
4502499;0;;43:40:002200:1182
4552773;0;;43:40:002200:1178
4816789;0;;43:40:002200:1178
4565141;0;;43:40:002200:1179
4796501;0;;43:40:002200:1179
4418337;0;;43:40:002200:1176
4692835;0;;43:40:002200:1184
4502501;0;;43:40:002200:1190
4806487;0;;43:40:002200:1190
4438275;0;;43:40:002203:169
4815245;0;;43:40:003630:1339
4464333;0;;43:40:003630:1339
4632751;0;;43:40:003630:899
4444895;0;;43:40:003630:900
4438277;0;;43:40:003630:901
4424977;0;;43:40:002819:362
4639005;0;;43:40:003621:260
4424979;0;;43:40:003621:265
4444903;0;;43:40:003611:731
4789743;0;;43:40:003611:731
4534129;0;;43:40:003621:266
4740585;0;;43:40:003621:267
4431725;0;;43:40:003611:732
4645011;0;;43:40:003621:268
4674831;0;;43:40:003611:729
4583395;0;;43:40:003621:261
4770077;0;;43:40:003621:262
4614375;0;;43:40:003621:263
4698749;0;;43:40:003611:727
4589467;0;;43:40:003611:726
4608207;0;;43:40:003611:730
4451311;0;;43:40:003621:264
4565151;0;;43:40:003611:728
4418375;0;;43:40:002203:19
4728705;0;;43:40:002819:437
4668903;0;;43:40:002819:435
